Index	Vgate	Vsource	Vdrain	Idrain	IdrainPerWg
294	 300.00 mV	 0 V	 2.5000 V	 2.72850 mA	 272.8500000 uA/um
295	 300.00 mV	 0 V	 2.5500 V	 2.75730 mA	 275.7300000 uA/um
296	 300.00 mV	 0 V	 2.6000 V	 2.78780 mA	 278.7800000 uA/um
297	 300.00 mV	 0 V	 2.6500 V	 2.81860 mA	 281.8600000 uA/um
298	 300.00 mV	 0 V	 2.7000 V	 2.85140 mA	 285.1400000 uA/um
299	 300.00 mV	 0 V	 2.7500 V	 2.88500 mA	 288.5000000 uA/um
300	 300.00 mV	 0 V	 2.8000 V	 2.92210 mA	 292.2100000 uA/um
301	 300.00 mV	 0 V	 2.8500 V	 2.96120 mA	 296.1200000 uA/um
302	 300.00 mV	 0 V	 2.9000 V	 3.00330 mA	 300.3300000 uA/um
303	 300.00 mV	 0 V	 2.9500 V	 3.04110 mA	 304.1100000 uA/um
304	 300.00 mV	 0 V	 3.0000 V	 3.08640 mA	 308.6400000 uA/um
305	 300.00 mV	 0 V	 3.0500 V	 3.13190 mA	 313.1900000 uA/um
306	 300.00 mV	 0 V	 3.1000 V	 3.18160 mA	 318.1600000 uA/um
307	 300.00 mV	 0 V	 3.1500 V	 3.22940 mA	 322.9400000 uA/um
308	 300.00 mV	 0 V	 3.2000 V	 3.27900 mA	 327.9000000 uA/um
309	 300.00 mV	 0 V	 3.2500 V	 3.32690 mA	 332.6900000 uA/um
310	 300.00 mV	 0 V	 3.3000 V	 3.38130 mA	 338.1300000 uA/um
311	 300.00 mV	 0 V	 3.3500 V	 3.43680 mA	 343.6800000 uA/um
312	 300.00 mV	 0 V	 3.4000 V	 3.49220 mA	 349.2200000 uA/um
313	 300.00 mV	 0 V	 3.4500 V	 3.55020 mA	 355.0200000 uA/um
314	 300.00 mV	 0 V	 3.5000 V	 3.60910 mA	 360.9100000 uA/um
315	 300.00 mV	 0 V	 3.5500 V	 3.67150 mA	 367.1500000 uA/um
316	 300.00 mV	 0 V	 3.6000 V	 3.73230 mA	 373.2300000 uA/um
317	 300.00 mV	 0 V	 3.6500 V	 3.79810 mA	 379.8100000 uA/um
318	 300.00 mV	 0 V	 3.7000 V	 3.86340 mA	 386.3400000 uA/um
319	 300.00 mV	 0 V	 3.7500 V	 3.93140 mA	 393.1400000 uA/um
320	 300.00 mV	 0 V	 3.8000 V	 4.00130 mA	 400.1300000 uA/um
321	 300.00 mV	 0 V	 3.8500 V	 4.07300 mA	 407.3000000 uA/um
