Vgate (V),Vsource (V),Vdrain (V),Idrain (A)
7.00E-01,0,2.8,1.00E-01
7.00E-01,0,2.85,1.00E-01
7.00E-01,0,2.9,1.00E-01
7.00E-01,0,2.95,1.00E-01
7.00E-01,0,3,1.00E-01
7.00E-01,0,3.05,1.00E-01
7.00E-01,0,3.1,1.00E-01
7.00E-01,0,3.15,1.00E-01
7.00E-01,0,3.2,1.00E-01
7.00E-01,0,3.25,1.00E-01
7.00E-01,0,3.3,1.00E-01
7.00E-01,0,3.35,1.00E-01
7.00E-01,0,3.4,1.00E-01
7.00E-01,0,3.45,1.00E-01
7.00E-01,0,3.5,1.00E-01
7.00E-01,0,3.55,1.00E-01
7.00E-01,0,3.6,1.00E-01
7.00E-01,0,3.65,1.00E-01
7.00E-01,0,3.7,1.00E-01
7.00E-01,0,3.75,1.00E-01
7.00E-01,0,3.8,1.00E-01
7.00E-01,0,3.85,1.00E-01
7.00E-01,0,3.9,1.00E-01
7.00E-01,0,3.95,1.00E-01
7.00E-01,0,4,1.00E-01
